gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,,Maths - Reading Calc,,x.bar is average,,180817,229689,212957,,
female,group D,bachelor's degree,standard,none,78,82,79,,84,77,17.9,7.9,141.41,320.41,62.41,,
female,group D,some high school,standard,none,51,63,61,,75,85,8.9,15.9,141.51,79.21,252.81,,
female,group C,some college,standard,none,55,69,65,,78,82,11.9,12.9,153.51,141.61,166.41,,
female,group C,bachelor's degree,standard,completed,79,92,89,,51,63,-15.1,-6.1,92.11,228.01,37.21,,
male,group B,associate's degree,standard,completed,91,89,92,,55,69,-11.1,-0.1,1.11,123.21,0.01,,
female,group C,some college,standard,completed,88,93,93,,79,92,12.9,22.9,295.41,166.41,524.41,,
male,group D,high school,free/reduced,none,63,57,56,,91,89,24.9,19.9,495.51,620.01,396.01,,
male,group E,some college,standard,none,83,80,73,,88,93,21.9,23.9,523.41,479.61,571.21,,
female,group B,high school,standard,none,87,95,86,,63,57,-3.1,-12.1,37.51,9.61,146.41,,
male,group B,some high school,standard,none,72,68,67,,83,80,16.9,10.9,184.21,285.61,118.81,,
male,group D,some college,standard,completed,65,77,74,,87,95,20.9,25.9,541.31,436.81,670.81,,
male,group D,master's degree,standard,none,82,82,74,,72,68,5.9,-1.1,-6.49,34.81,1.21,,
female,group A,bachelor's degree,standard,none,51,49,51,,65,77,-1.1,7.9,-8.69,1.21,62.41,,
male,group D,master's degree,standard,none,89,84,82,,82,82,15.9,12.9,205.11,252.81,166.41,,
male,group C,some high school,free/reduced,completed,53,37,40,,51,49,-15.1,-20.1,303.51,228.01,404.01,,
male,group E,some college,free/reduced,completed,87,74,70,,89,84,22.9,14.9,341.21,524.41,222.01,,
female,group C,some college,standard,completed,75,81,84,,53,37,-13.1,-32.1,420.51,171.61,1030.41,,
male,group D,bachelor's degree,free/reduced,completed,74,79,75,,87,74,20.9,4.9,102.41,436.81,24.01,,
male,group C,bachelor's degree,standard,none,58,55,48,,75,81,8.9,11.9,105.91,79.21,141.61,,
male,group B,some high school,standard,completed,51,54,41,,74,79,7.9,9.9,78.21,62.41,98.01,,
male,group E,high school,standard,none,70,55,56,,58,55,-8.1,-14.1,114.21,65.61,198.81,,
female,group C,associate's degree,standard,none,59,66,67,,51,54,-15.1,-15.1,228.01,228.01,228.01,,
male,group D,some college,standard,completed,71,61,69,,70,55,3.9,-14.1,-54.99,15.21,198.81,,
female,group D,some high school,standard,none,76,72,71,,59,66,-7.1,-3.1,22.01,50.41,9.61,,
female,group C,some college,free/reduced,none,59,62,64,,71,61,4.9,-8.1,-39.69,24.01,65.61,,
female,group E,some college,free/reduced,completed,42,55,54,,76,72,9.9,2.9,28.71,98.01,8.41,,
male,group A,high school,standard,none,57,43,47,,59,62,-7.1,-7.1,50.41,50.41,50.41,,
male,group D,some college,standard,none,88,73,78,,42,55,-24.1,-14.1,339.81,580.81,198.81,,
female,group C,some college,free/reduced,none,22,39,33,,57,43,-9.1,-26.1,237.51,82.81,681.21,,
male,group B,some high school,standard,none,88,84,75,,88,73,21.9,3.9,85.41,479.61,15.21,,
male,group C,associate's degree,free/reduced,none,73,68,66,,22,39,-44.1,-30.1,1327.41,1944.81,906.01,,
female,group D,bachelor's degree,standard,completed,68,75,81,,88,84,21.9,14.9,326.31,479.61,222.01,,
male,group E,associate's degree,free/reduced,completed,100,100,93,,73,68,6.9,-1.1,-7.59,47.61,1.21,,
male,group A,some high school,standard,completed,62,67,69,,68,75,1.9,5.9,11.21,3.61,34.81,,
male,group A,bachelor's degree,standard,none,77,67,68,,100,100,33.9,30.9,1047.51,1149.21,954.81,,
female,group B,associate's degree,standard,completed,59,70,66,,62,67,-4.1,-2.1,8.61,16.81,4.41,,
male,group D,bachelor's degree,standard,none,54,49,47,,77,67,10.9,-2.1,-22.89,118.81,4.41,,
male,group D,some high school,standard,none,62,67,61,,59,70,-7.1,0.9,-6.39,50.41,0.81,,
female,group C,some college,standard,completed,70,89,88,,54,49,-12.1,-20.1,243.21,146.41,404.01,,
female,group E,high school,free/reduced,completed,66,74,78,,62,67,-4.1,-2.1,8.61,16.81,4.41,,
male,group B,some college,free/reduced,none,60,60,60,,70,89,3.9,19.9,77.61,15.21,396.01,,
female,group B,associate's degree,standard,completed,61,86,87,,66,74,-0.1,4.9,-0.49,0.01,24.01,,
male,group D,associate's degree,free/reduced,none,66,62,64,,60,60,-6.1,-9.1,55.51,37.21,82.81,,
male,group B,associate's degree,free/reduced,completed,82,78,74,,61,86,-5.1,16.9,-86.19,26.01,285.61,,
female,group E,some college,free/reduced,completed,75,88,85,,66,62,-0.1,-7.1,0.71,0.01,50.41,,
male,group B,master's degree,free/reduced,none,49,53,52,,82,78,15.9,8.9,141.51,252.81,79.21,,
male,group C,high school,standard,none,52,53,49,,75,88,8.9,18.9,168.21,79.21,357.21,,
female,group E,master's degree,standard,none,81,92,91,,49,53,-17.1,-16.1,275.31,292.41,259.21,,
female,group C,bachelor's degree,standard,completed,96,100,100,,52,53,-14.1,-16.1,227.01,198.81,259.21,,
male,group C,high school,free/reduced,completed,53,51,51,,81,92,14.9,22.9,341.21,222.01,524.41,,
female,group B,master's degree,free/reduced,completed,58,76,78,,96,100,29.9,30.9,923.91,894.01,954.81,,
female,group B,high school,standard,completed,68,83,78,,53,51,-13.1,-18.1,237.11,171.61,327.61,,
female,group C,some college,free/reduced,completed,67,75,70,,58,76,-8.1,6.9,-55.89,65.61,47.61,,
male,group A,high school,standard,completed,72,73,74,,68,83,1.9,13.9,26.41,3.61,193.21,,
male,group E,some high school,standard,none,94,88,78,,67,75,0.9,5.9,5.31,0.81,34.81,,
female,group D,some college,standard,none,79,86,81,,72,73,5.9,3.9,23.01,34.81,15.21,,
female,group C,associate's degree,standard,none,63,67,70,,94,88,27.9,18.9,527.31,778.41,357.21,,
female,group C,bachelor's degree,free/reduced,completed,43,51,54,,79,86,12.9,16.9,218.01,166.41,285.61,,
female,group C,master's degree,standard,completed,81,91,87,,63,67,-3.1,-2.1,6.51,9.61,4.41,,
female,group B,high school,free/reduced,completed,46,54,58,,43,51,-23.1,-18.1,418.11,533.61,327.61,,
female,group C,associate's degree,standard,completed,71,77,77,,81,91,14.9,21.9,326.31,222.01,479.61,,
female,group B,master's degree,free/reduced,completed,52,70,62,,46,54,-20.1,-15.1,303.51,404.01,228.01,,
female,group D,some high school,standard,completed,97,100,100,,71,77,4.9,7.9,38.71,24.01,62.41,,
male,group C,master's degree,free/reduced,completed,62,68,75,,52,70,-14.1,0.9,-12.69,198.81,0.81,,
female,group C,some college,free/reduced,none,46,64,66,,97,100,30.9,30.9,954.81,954.81,954.81,,
female,group E,high school,standard,none,50,50,47,,62,68,-4.1,-1.1,4.51,16.81,1.21,,
female,group D,associate's degree,standard,none,65,69,70,,46,64,-20.1,-5.1,102.51,404.01,26.01,,
male,group C,some high school,free/reduced,completed,45,52,49,,50,50,-16.1,-19.1,307.51,259.21,364.81,,
male,group C,associate's degree,free/reduced,completed,65,67,65,,65,69,-1.1,-0.1,0.11,1.21,0.01,,
male,group E,high school,standard,none,80,76,65,,45,52,-21.1,-17.1,360.81,445.21,292.41,,
male,group D,some high school,standard,completed,62,66,68,,65,67,-1.1,-2.1,2.31,1.21,4.41,,
male,group B,some high school,free/reduced,none,48,52,45,,80,76,13.9,6.9,95.91,193.21,47.61,,
female,group C,bachelor's degree,standard,none,77,88,87,,62,66,-4.1,-3.1,12.71,16.81,9.61,,
female,group E,associate's degree,standard,none,66,65,69,,48,52,-18.1,-17.1,309.51,327.61,292.41,,
male,group D,some college,standard,completed,76,83,79,,77,88,10.9,18.9,206.01,118.81,357.21,,
female,group B,some high school,standard,none,62,64,66,,66,65,-0.1,-4.1,0.41,0.01,16.81,,
male,group D,some college,standard,completed,77,62,62,,76,83,9.9,13.9,137.61,98.01,193.21,,
female,group C,master's degree,standard,completed,69,84,85,,62,64,-4.1,-5.1,20.91,16.81,26.01,,
male,group D,associate's degree,standard,none,61,55,52,,77,62,10.9,-7.1,-77.39,118.81,50.41,,
male,group C,some high school,free/reduced,completed,59,69,65,,69,84,2.9,14.9,43.21,8.41,222.01,,
male,group E,high school,free/reduced,none,55,56,51,,61,55,-5.1,-14.1,71.91,26.01,198.81,,
female,group B,some college,free/reduced,none,45,53,55,,59,69,-7.1,-0.1,0.71,50.41,0.01,,
female,group B,bachelor's degree,free/reduced,none,78,79,76,,55,56,-11.1,-13.1,145.41,123.21,171.61,,
female,group C,associate's degree,standard,completed,67,84,86,,45,53,-21.1,-16.1,339.71,445.21,259.21,,
female,group D,some college,free/reduced,none,65,81,77,,78,79,11.9,9.9,117.81,141.61,98.01,,
male,group C,associate's degree,standard,none,69,77,69,,67,84,0.9,14.9,13.41,0.81,222.01,,
female,group B,associate's degree,standard,none,57,69,68,,65,81,-1.1,11.9,-13.09,1.21,141.61,,
male,group C,some college,standard,none,59,41,42,,69,77,2.9,7.9,22.91,8.41,62.41,,
male,group D,some high school,standard,completed,74,71,78,,57,69,-9.1,-0.1,0.91,82.81,0.01,,
male,group E,bachelor's degree,standard,none,82,62,62,,59,41,-7.1,-28.1,199.51,50.41,789.61,,
male,group E,high school,standard,completed,81,80,76,,74,71,7.9,1.9,15.01,62.41,3.61,,
female,group B,some college,free/reduced,none,74,81,76,,82,62,15.9,-7.1,-112.89,252.81,50.41,,
female,group B,some college,free/reduced,none,58,61,66,,81,80,14.9,10.9,162.41,222.01,118.81,,
male,group D,some high school,free/reduced,completed,80,79,79,,74,81,7.9,11.9,94.01,62.41,141.61,,
male,group C,some college,free/reduced,none,35,28,27,,58,61,-8.1,-8.1,65.61,65.61,65.61,,
female,group C,high school,free/reduced,none,42,62,60,,80,79,13.9,9.9,137.61,193.21,98.01,,
male,group C,associate's degree,free/reduced,completed,60,51,56,,35,28,-31.1,-41.1,1278.21,967.21,1689.21,,
male,group E,high school,standard,completed,87,91,81,,42,62,-24.1,-7.1,171.11,580.81,50.41,,
male,group B,some high school,standard,completed,84,83,75,,60,51,-6.1,-18.1,110.41,37.21,327.61,,
female,group E,associate's degree,free/reduced,completed,83,86,88,,87,91,20.9,21.9,457.71,436.81,479.61,,
female,group C,high school,free/reduced,none,34,42,39,,84,83,17.9,13.9,248.81,320.41,193.21,,
male,group B,high school,free/reduced,none,66,77,70,,83,86,16.9,16.9,285.61,285.61,285.61,,
male,group B,some high school,standard,completed,61,56,56,,34,42,-32.1,-27.1,869.91,1030.41,734.41,,
female,group D,high school,standard,completed,56,68,74,,66,77,-0.1,7.9,-0.79,0.01,62.41,,
male,group B,associate's degree,standard,none,87,85,73,,61,56,-5.1,-13.1,66.81,26.01,171.61,,
female,group C,some high school,free/reduced,none,55,65,62,,56,68,-10.1,-1.1,11.11,102.01,1.21,,
male,group D,some high school,standard,none,86,80,75,,87,85,20.9,15.9,332.31,436.81,252.81,,
female,group B,associate's degree,standard,completed,52,66,73,,55,65,-11.1,-4.1,45.51,123.21,16.81,,
female,group E,master's degree,free/reduced,none,45,56,54,,86,80,19.9,10.9,216.91,396.01,118.81,,
female,group C,some college,standard,none,72,72,71,,52,66,-14.1,-3.1,43.71,198.81,9.61,,
male,group D,high school,standard,none,57,50,54,,45,56,-21.1,-13.1,276.41,445.21,171.61,,
male,group A,some high school,free/reduced,none,68,72,64,,72,72,5.9,2.9,17.11,34.81,8.41,,
female,group C,some college,standard,completed,88,95,94,,57,50,-9.1,-19.1,173.81,82.81,364.81,,
male,group D,some college,standard,none,76,64,66,,68,72,1.9,2.9,5.51,3.61,8.41,,
male,group C,associate's degree,standard,none,46,43,42,,88,95,21.9,25.9,567.21,479.61,670.81,,
female,group B,bachelor's degree,standard,none,67,86,83,,76,64,9.9,-5.1,-50.49,98.01,26.01,,
male,group E,some high school,standard,none,92,87,78,,46,43,-20.1,-26.1,524.61,404.01,681.21,,
male,group C,bachelor's degree,standard,completed,83,82,84,,67,86,0.9,16.9,15.21,0.81,285.61,,
male,group D,associate's degree,standard,none,80,75,77,,92,87,25.9,17.9,463.61,670.81,320.41,,
male,group D,bachelor's degree,free/reduced,none,63,66,67,,83,82,16.9,12.9,218.01,285.61,166.41,,
female,group D,some high school,standard,completed,64,60,74,,80,75,13.9,5.9,82.01,193.21,34.81,,
male,group B,some college,standard,none,54,52,51,,63,66,-3.1,-3.1,9.61,9.61,9.61,,
male,group C,associate's degree,standard,none,84,80,80,,64,60,-2.1,-9.1,19.11,4.41,82.81,,
male,group D,high school,free/reduced,completed,73,68,66,,54,52,-12.1,-17.1,206.91,146.41,292.41,,
female,group E,bachelor's degree,standard,none,80,83,83,,84,80,17.9,10.9,195.11,320.41,118.81,,
female,group D,high school,standard,none,56,52,55,,73,68,6.9,-1.1,-7.59,47.61,1.21,,
male,group E,some college,standard,none,59,51,43,,80,83,13.9,13.9,193.21,193.21,193.21,,
male,group D,some high school,standard,none,75,74,69,,56,52,-10.1,-17.1,172.71,102.01,292.41,,
male,group C,associate's degree,standard,none,85,76,71,,59,51,-7.1,-18.1,128.51,50.41,327.61,,
male,group E,associate's degree,standard,none,89,76,74,,75,74,8.9,4.9,43.61,79.21,24.01,,
female,group B,high school,standard,completed,58,70,68,,85,76,18.9,6.9,130.41,357.21,47.61,,
female,group B,high school,standard,none,65,64,62,,89,76,22.9,6.9,158.01,524.41,47.61,,
male,group C,high school,standard,none,68,60,53,,58,70,-8.1,0.9,-7.29,65.61,0.81,,
male,group A,some high school,standard,completed,47,49,49,,65,64,-1.1,-5.1,5.61,1.21,26.01,,
female,group D,some college,free/reduced,none,71,83,83,,68,60,1.9,-9.1,-17.29,3.61,82.81,,
female,group B,some high school,standard,completed,60,70,70,,47,49,-19.1,-20.1,383.91,364.81,404.01,,
male,group D,master's degree,standard,none,80,80,72,,71,83,4.9,13.9,68.11,24.01,193.21,,
male,group D,high school,standard,none,54,52,52,,60,70,-6.1,0.9,-5.49,37.21,0.81,,
female,group E,some college,standard,none,62,73,70,,80,80,13.9,10.9,151.51,193.21,118.81,,
female,group C,associate's degree,free/reduced,none,64,73,68,,54,52,-12.1,-17.1,206.91,146.41,292.41,,
male,group C,associate's degree,standard,completed,78,77,77,,62,73,-4.1,3.9,-15.99,16.81,15.21,,
female,group B,some college,standard,none,70,75,78,,64,73,-2.1,3.9,-8.19,4.41,15.21,,
female,group C,master's degree,free/reduced,completed,65,81,81,,78,77,11.9,7.9,94.01,141.61,62.41,,
female,group C,some high school,free/reduced,completed,64,79,77,,70,75,3.9,5.9,23.01,15.21,34.81,,
male,group C,some college,standard,completed,79,79,78,,65,81,-1.1,11.9,-13.09,1.21,141.61,,
female,group C,some high school,free/reduced,none,44,50,51,,64,79,-2.1,9.9,-20.79,4.41,98.01,,
female,group E,high school,standard,none,99,93,90,,79,79,12.9,9.9,127.71,166.41,98.01,,
male,group D,high school,standard,none,76,73,68,,44,50,-22.1,-19.1,422.11,488.41,364.81,,
male,group D,some high school,free/reduced,none,59,42,41,,99,93,32.9,23.9,786.31,1082.41,571.21,,
female,group C,bachelor's degree,standard,none,63,75,81,,76,73,9.9,3.9,38.61,98.01,15.21,,
female,group D,high school,standard,none,69,72,77,,59,42,-7.1,-27.1,192.41,50.41,734.41,,
female,group D,associate's degree,standard,completed,88,92,95,,63,75,-3.1,5.9,-18.29,9.61,34.81,,
female,group E,some college,free/reduced,none,71,76,70,,69,72,2.9,2.9,8.41,8.41,8.41,,
male,group C,bachelor's degree,standard,none,69,63,61,,88,92,21.9,22.9,501.51,479.61,524.41,,
male,group C,some college,standard,none,58,49,42,,71,76,4.9,6.9,33.81,24.01,47.61,,
female,group D,associate's degree,free/reduced,none,47,53,58,,69,63,2.9,-6.1,-17.69,8.41,37.21,,
female,group D,some college,standard,none,65,70,71,,58,49,-8.1,-20.1,162.81,65.61,404.01,,
male,group B,some college,standard,completed,88,85,76,,47,53,-19.1,-16.1,307.51,364.81,259.21,,
